SubjectId,G2_1,G2_2,R3_1,R3_2,R2_1,R2_2,CrB_1,CrB_2,R1_1,R1_2,G1_1,G1_2,CrA_1,CrA_2,R4_1,R4_2
1,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off
2,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
3,Off,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On
4,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
5,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
6,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
7,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
8,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
9,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off
10,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
11,On,Off,Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
12,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
13,On,Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,Off,Off,On
14,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off
15,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
16,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
17,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,Off
18,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off
19,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
20,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
21,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
22,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off
23,Off,On,On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,Off
24,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
25,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
26,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,On
27,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
28,On,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off
29,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off,On,Off
30,On,Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off
31,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
32,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
33,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
34,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
35,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
36,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,On,Off
37,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
38,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
39,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
40,On,Off,Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
41,Off,On,Off,On,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On
42,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
43,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
44,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off
45,On,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,Off,On
46,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
47,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off
48,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
49,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On
50,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off
51,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
52,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,On,Off
53,Off,On,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,Off
54,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
55,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
56,On,Off,Off,On,Off,On,On,Off,Off,On,Off,On,Off,On,On,Off
57,On,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off
58,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
59,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
60,Off,On,Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On
61,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
62,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off
63,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,Off,On,On,Off